 frequency
̏d 0.01
£ 0.01
$ 0.01
§ 0.01
( 0.01
« 0.01
, 0.01
‰ 0.01
» 0.01
< 0.01
¿ 0.01
... 0.01
¸d 0.01
Œ 0.01
× 0.01
\ 0.01
ß 0.01
≤ 0.01
≠ 0.01
d 0.01
ç 0.01
˚d 0.01
h 0.01
l 0.01
p 0.01
t 0.01
÷ 0.01
x 0.01
| 0.01
# 0.01
¤ 0.01
' 0.01
space 0.01
+ 0.01
€ 0.01
/ 0.01
; 0.01
? 0.01
À 0.01
Ø 0.01
[ 0.01
_ 0.01
à 0.01
c 0.01
g 0.01
k 0.01
˘d 0.01
s 0.01
ˇd 0.01
w 0.01
ø 0.01
{ 0.01
¡ 0.01
" 0.01
& 0.01
* 0.01
. 0.01
± 0.01
˝d 0.01
µ 0.01
: 0.01
> 0.01
`d 0.01
É 0.01
≥ 0.01
b 0.01
f 0.01
é 0.01
j 0.01
n 0.01
r 0.01
v 0.01
´d 0.01
z 0.01
~ 0.01
@ 0.01
o 0.01
~d 0.01
¨d 0.01
! 0.01
% 0.01
¦ 0.01
) 0.01
- 0.01
² 0.01
˛d 0.01
= 0.01
Æ 0.01
œ 0.01
] 0.01
a 0.01
e 0.01
æ 0.01
i 0.01
^d 0.01
m 0.01
q 0.01
u 0.01
y 0.01
} 0.01
